Address,Subdivision Name,City,Cumulative Days On Market,Days On Market,SqFt,Fireplaces Total,Heating,Year Built,Utilities,Longitude,Latitude,HOA Fee,HOA Fee Frequency,HOA Type,Cooling,County,Covered Spaces,Carport Spaces,Close Date,Close Price,Bath Full,Baths Half,Baths Total,# Dining Areas,# Living Areas,Beds Total,Bath Total,Acres,Current Price
3807 Vilbig  Road ,Roosevelt Manor 1st Inst,Dallas,21,21,"1,855",0,Other,2020,Concrete,-96.848047,32.788972,,,None,Other,Dallas,1,3.0,05/13/2022,"$485,000",2,1,2/1,1,1,3,3,0.064,"$485,000"
5004 Stockwhip  Drive ,Chisholm Trail Ranch Ph 1 Sec 1,Fort Worth,3,3,"2,904",0,ENERGY STAR Qualified Equipment,2018,"City Sewer, City Water, Curbs, Individual Gas Meter, Underground Utilities",-97.401287,32.605536,$176,Quarterly,Mandatory,"Ceiling Fan(s), Central Air, ENERGY STAR Qualified Equipment",Tarrant,2,0.0,05/24/2022,"$485,000",2,1,2/1,2,2,4,3,0.15,"$485,000"
1128 Ginger  Trail ,Candle Mdw Ph 1,DeSoto,13,13,"3,444",1,"Central, Natural Gas, Zoned",2003,"Cable Available, City Sewer, City Water, Concrete, Curbs, Individual Water Meter, Sidewalk, Underground Utilities",-96.887394,32.578476,$600,Annually,Mandatory,"Central Air, Electric, Zoned",Dallas,2,0.0,05/19/2022,"$485,300",3,1,3/1,2,4,4,4,0.252,"$485,300"
3629 Hudson  Drive ,Jackson Hills Ph 3B,Sachse,4,4,"2,188",1,Central,2017,"City Sewer, City Water",-96.589387,32.959248,$220,Semi-Annual,Mandatory,Central Air,Dallas,2,0.0,05/02/2022,"$485,999",2,0,2/0,2,1,4,2,0.165,"$485,999"
3508 Jackson  Drive ,Ridge Road Estates Ph 1,McKinney,11,11,"1,909",1,"Central, Natural Gas",2002,"City Sewer, City Water",-96.700687,33.167792,$468,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Collin,2,0.0,04/29/2022,"$486,000",2,0,2/0,2,1,3,2,0.14,"$486,000"
7805 Glenside  Drive ,CASTLE HILL ESTATES,Rowlett,6,6,"3,074",1,Central,2005,"City Sewer, City Water",-96.573712,32.934205,$234,Semi-Annual,Mandatory,Central Air,Dallas,2,2.0,04/27/2022,"$486,000",3,1,3/1,2,3,5,4,0.21,"$486,000"
3202 Paisley  Drive ,Parkside Estates,Midlothian,7,7,"2,784",1,"Central, Fireplace(s), Heat Pump",2016,"City Sewer, City Water, Underground Utilities",-96.95636,32.498299,$385,Annually,Mandatory,"Ceiling Fan(s), Central Air",Ellis,2,0.0,05/16/2022,"$486,500",2,2,2/2,1,2,4,4,0.172,"$486,500"
4520 Stones River  Road ,Westchester On The Creek Ph 3b,Grand Prairie,6,6,"3,043",1,Natural Gas,1998,"City Sewer, City Water",-97.017148,32.661658,$284,Annually,Mandatory,Central Air,Dallas,2,0.0,05/18/2022,"$486,500",3,0,3/0,1,1,5,3,0.168,"$486,500"
3763 Park  Lane ,Marsh Lane Sec 02,Dallas,5,5,"1,045",0,"Central, Natural Gas",1950,"Alley, City Sewer, City Water, Electricity Available, Electricity Connected, Individual Gas Meter, Individual Water Meter",-96.853523,32.8751,,,None,"Ceiling Fan(s), Central Air, Electric",Dallas,2,0.0,05/02/2022,"$487,000",1,0,1/0,1,2,2,1,0.188,"$487,000"
2312 Choctaw  Drive ,Preston Ridge II,Plano,2,2,"1,684",1,"Electric, Fireplace(s), Zoned",1983,"Cable Available, City Sewer, City Water, Concrete, Curbs, Electricity Connected, Individual Water Meter, Phone Available, Sewer Available, Sidewalk, Underground Utilities",-96.787234,33.029612,,,None,"Ceiling Fan(s), Electric, ENERGY STAR Qualified Equipment, Zoned",Collin,2,0.0,05/16/2022,"$487,500",2,0,2/0,1,1,3,2,0.17,"$487,500"
3016 Stanford  Drive ,Dallas North Estates 12,Plano,4,4,"2,473",1,Natural Gas,1973,"Alley, Cable Available, City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter, Sidewalk",-96.75184,33.014283,,,None,"Ceiling Fan(s), Central Air",Collin,2,0.0,05/16/2022,"$488,000",2,1,2/1,2,1,4,3,0.2,"$488,000"
122 Hollywood  Avenue ,Mrs Georgia M Rices,Dallas,4,4,"1,902",1,"Central, Electric",1924,"City Sewer, City Water",-96.854998,32.744466,,,None,"Central Air, Electric",Dallas,0,0.0,05/20/2022,"$488,000",2,0,2/0,1,1,4,2,0.177,"$488,000"
8709 Creekside  Drive ,Bayview Estates,Rowlett,4,4,"2,075",1,"Central, Natural Gas, Zoned",1995,"Cable Available, City Sewer, City Water, Curbs, Individual Gas Meter, Natural Gas Available, Phone Available, Sewer Available, Sidewalk, Underground Utilities",-96.516641,32.92882,,,Voluntary,"Ceiling Fan(s), Central Air, Electric, Zoned",Rockwall,2,0.0,05/03/2022,"$488,000",2,1,2/1,2,2,4,3,0.23,"$488,000"
2304 Mallard  Drive ,Hunters Ridge Ph 1,Melissa,3,3,"2,343",1,"Central, Fireplace(s)",2002,"All Weather Road, City Sewer, City Water, Concrete, Curbs",-96.585289,33.281444,$136,Semi-Annual,Mandatory,"Ceiling Fan(s), Central Air",Collin,2,0.0,05/09/2022,"$488,750",2,1,2/1,1,1,5,3,0.16,"$488,750"
3212 David  Drive ,Wintergreen North II,Hurst,3,3,"2,358",1,"Central, Electric",1993,"City Sewer, City Water",-97.182538,32.878709,,,None,"Attic Fan, Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,04/28/2022,"$488,800",2,0,2/0,0,2,3,2,0.186,"$488,800"
1022 Dancing Waters ,Fox Hollow Ph 1,Forney,3,3,"2,729",1,"Central, Natural Gas",2005,"City Sewer, City Water, Curbs, Sidewalk, Underground Utilities",-96.450222,32.734409,$275,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Kaufman,3,0.0,05/24/2022,"$489,000",3,0,3/0,2,3,5,3,0.22,"$489,000"
1600 Cherokee  Trail ,Park Forest North Add Third Increment,Plano,3,3,"1,989",1,"Central, Natural Gas",1977,"City Sewer, City Water, Electricity Connected, Individual Gas Meter, Individual Water Meter, Natural Gas Available",-96.723553,33.056404,,,None,"Ceiling Fan(s), Central Air, Electric",Collin,2,0.0,05/09/2022,"$490,000",2,0,2/0,1,2,3,2,0.24,"$490,000"
8500 Lake Country  Drive ,Lake Country Estates Add,Fort Worth,7,7,"2,815",1,"Electric, Fireplace(s)",1981,"Asphalt, City Sewer, City Water, Curbs",-97.44267,32.876902,,,Voluntary,"Central Air, Electric",Tarrant,2,0.0,05/13/2022,"$490,000",3,0,3/0,2,2,4,3,0.352,"$490,000"
12225 Vienna Apple  Road ,Villages Of Woodland Spgs,Fort Worth,4,4,"2,905",1,"Central, Natural Gas",2004,City Water,-97.275482,32.949773,$298,Semi-Annual,Mandatory,"Central Air, Electric",Tarrant,2,0.0,04/20/2022,"$490,000",3,0,3/0,1,2,4,3,0.172,"$490,000"
5290 Fm 1571 ,Oakwood,Lone Oak,29,29,"2,294",1,"Central, Electric",2022,"Aerobic Septic, Co-op Water",-95.966504,32.987883,,,None,"Central Air, Electric",Hunt,2,0.0,05/19/2022,"$490,000",2,0,2/0,1,1,4,2,1.5,"$490,000"
12308 Chattanooga  Drive ,Plantation Resort Ph Iiic The,Frisco,4,4,"1,757",1,"Central, Natural Gas",1996,"Alley, City Sewer, City Water, Curbs, Individual Gas Meter, Individual Water Meter, Sidewalk",-96.770307,33.130122,$180,Semi-Annual,Mandatory,"Central Air, Electric",Collin,2,0.0,05/05/2022,"$490,000",2,0,2/0,1,1,3,2,0.16,"$490,000"
3604 Catalpa  Drive ,Mccreary Estates 1,Wylie,5,5,"2,649",1,"Central, Natural Gas",2001,"City Sewer, City Water",-96.594134,33.016906,$300,Semi-Annual,Mandatory,"Central Air, Electric",Collin,2,0.0,04/22/2022,"$490,000",2,1,2/1,2,2,4,3,0.22,"$490,000"
2106 Diamond Oaks  Drive ,Oakridge 09,Garland,2,2,"2,347",1,"Central, Fireplace(s)",1986,"Alley, Cable Available, City Sewer, City Water, Concrete, Curbs, Sidewalk",-96.675351,32.932944,,,None,"Ceiling Fan(s), Central Air",Dallas,2,0.0,04/25/2022,"$490,000",3,0,3/0,2,2,4,3,0.212,"$490,000"
3106 Carla  Drive ,Westwood Estates,Rowlett,5,5,"2,984",1,"Central, Natural Gas",1992,"Asphalt, Cable Available, City Sewer, City Water, Electricity Connected, Individual Gas Meter, Individual Water Meter, Natural Gas Available",-96.574407,32.889941,,,None,"Central Air, Electric",Dallas,2,0.0,04/29/2022,"$490,000",3,1,3/1,2,2,4,4,0.23,"$490,000"
3429 Springwood  Lane ,Westwood Park,Dallas,16,16,"2,107",1,Central,1962,City Water,-96.876988,32.702254,,,None,"Ceiling Fan(s), Central Air",Dallas,2,0.0,05/23/2022,"$490,000",3,0,3/0,1,1,4,3,0.23,"$490,000"
2109 Geneva  Lane ,Fountainview Ph Three,McKinney,4,4,"2,142",1,"Central, Natural Gas",2004,"All Weather Road, City Sewer, City Water, Curbs, Individual Gas Meter, Individual Water Meter, Underground Utilities",-96.72382,33.182043,$870,Annually,Mandatory,"Central Air, Electric",Collin,2,0.0,05/16/2022,"$490,000",2,0,2/0,2,2,4,2,0.13,"$490,000"
6000 Autumn  Way ,Autumn Ridge II,McKinney,13,13,"2,405",1,"Central, Fireplace(s), Natural Gas",1996,"All Weather Road, Cable Available, City Sewer, City Water, Concrete, Curbs, Electricity Available, Individual Gas Meter, Individual Water Meter, Sewer Available, Sidewalk, Underground Utilities",-96.697563,33.194761,$865,Annually,Mandatory,"Central Air, Electric",Collin,2,0.0,05/05/2022,"$490,000",3,0,3/0,2,2,4,3,0.22,"$490,000"
7429 Los Padres  Trail ,Park Glen Add,Fort Worth,4,4,"2,931",1,"Central, Natural Gas",1990,"City Sewer, City Water",-97.275089,32.873866,$66,Annually,Mandatory,Ceiling Fan(s),Tarrant,2,0.0,05/02/2022,"$490,000",3,1,3/1,2,3,5,4,0.0,"$490,000"
504 Monssen  Drive ,Wynnewood Add 06 Sec 01 Inst,Dallas,3,3,"1,716",1,"Central, Natural Gas",1951,"All Weather Road, Cable Available, City Sewer, City Water",-96.831423,32.731591,,,None,"Central Air, Electric",Dallas,2,2.0,05/10/2022,"$490,000",2,0,2/0,1,2,3,2,0.257,"$490,000"
605 Rocky Haven  Court ,Saginaw Spgs Ph 2,Saginaw,17,17,"2,857",1,Natural Gas,2016,"City Sewer, City Water",-97.38648,32.870593,,,None,Central Air,Tarrant,2,0.0,05/19/2022,"$490,000",3,1,3/1,1,1,4,4,0.194,"$490,000"
1008 Lowndes  Lane ,Birmingham Farms Ph 2a,Wylie,6,6,"3,443",1,"Central, Electric, Zoned",2003,"City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter",-96.557633,33.023102,$72,Quarterly,Mandatory,"Ceiling Fan(s), Central Air, Electric, Zoned",Collin,2,0.0,04/27/2022,"$490,000",3,0,3/0,2,3,5,3,0.168,"$490,000"
6105 Raleigh  Drive ,Clear Creek Estates,Garland,3,3,"2,379",1,"Central, Natural Gas, Zoned",1982,"Alley, City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter, Sidewalk, Underground Utilities",-96.610669,32.970135,,,None,"Ceiling Fan(s), Central Air, Electric, Zoned",Dallas,2,0.0,05/10/2022,"$490,000",3,0,3/0,2,2,3,3,0.241,"$490,000"
2219 Saratoga  Drive ,Liberty Ph 4,Melissa,6,6,"1,986",1,ENERGY STAR Qualified Equipment,2017,"City Sewer, City Water, Electricity Available, Individual Gas Meter, Individual Water Meter, Underground Utilities",-96.564695,33.295578,$325,Semi-Annual,Mandatory,"Central Air, Electric, ENERGY STAR Qualified Equipment",Collin,2,0.0,05/09/2022,"$490,000",2,0,2/0,1,1,3,2,0.152,"$490,000"
545 Tierra Vista  Way ,Watersbend North,Fort Worth,4,4,"2,241",1,"Central, Electric",2019,"City Sewer, City Water",-97.370744,32.91745,$210,Semi-Annual,Mandatory,"Central Air, Electric",Tarrant,2,0.0,05/17/2022,"$490,000",2,0,2/0,1,1,4,2,0.139,"$490,000"
10911 Middle Knoll  Drive ,KINGSLEY MEADOWS NO 2 REVISED,Dallas,5,5,"1,536",1,"Central, Natural Gas",1973,"City Sewer, City Water",-96.695887,32.876114,,,None,"Central Air, Electric",Dallas,2,0.0,05/18/2022,"$490,000",2,0,2/0,1,1,3,2,0.157,"$490,000"
1603 Trowbridge  Circle ,Townsend Village,Rockwall,2,2,"1,967",1,"Central, Fireplace(s)",2017,"Cable Available, City Sewer, City Water, Curbs, Sidewalk",-96.442374,32.908645,$469,Semi-Annual,Mandatory,"Central Air, Electric",Rockwall,2,0.0,05/09/2022,"$490,000",2,0,2/0,2,1,3,2,0.139,"$490,000"
1429 Glenbrook  Drive ,Sleepy Hollow 02,Irving,5,5,"3,175",1,Central,1972,"City Sewer, City Water, Sidewalk",-96.95555,32.829005,,,None,Central Air,Dallas,2,0.0,05/17/2022,"$490,000",3,0,3/0,2,3,4,3,0.235,"$490,000"
3045 Sangria  Lane ,Riverside Place,Fort Worth,5,5,"2,212",1,"Central, Natural Gas, Zoned",2018,"City Sewer, City Water, Concrete, Curbs, Sidewalk, Underground Utilities",-97.296511,32.963389,$300,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric, Zoned",Tarrant,2,0.0,04/13/2022,"$491,000",3,0,3/0,1,1,4,3,0.16,"$491,000"
5912 Swains Lake  Drive ,Marine Creek Ranch Add,Fort Worth,3,3,"2,284",1,"Central, Electric, ENERGY STAR Qualified Equipment, Fireplace(s)",2019,"City Sewer, City Water, Community Mailbox, Individual Gas Meter, Individual Water Meter",-97.410057,32.842025,$360,Annually,Mandatory,"Attic Fan, Ceiling Fan(s), Central Air, Electric, ENERGY STAR Qualified Equipment",Tarrant,2,0.0,04/27/2022,"$492,000",2,0,2/0,1,1,3,2,0.18,"$492,000"
1731 Woodstream  Lane ,Villages At Maxwell Creek Ph One,Allen,4,4,"1,922",1,"Central, Natural Gas",2001,"Alley, City Sewer, City Water, Curbs",-96.624673,33.082276,$0,Annually,Mandatory,"Central Air, Electric",Collin,2,0.0,05/09/2022,"$492,000",2,0,2/0,2,1,3,2,0.13,"$492,000"
7330 Fenton  Drive ,University Manor,Dallas,1,1,"1,928",1,"Central, Natural Gas",1954,"City Sewer, City Water",-96.735657,32.857523,,,None,"Ceiling Fan(s), Central Air",Dallas,0,0.0,04/01/2022,"$493,000",3,0,3/0,1,2,4,3,0.178,"$493,000"
4304 Del Rey  Avenue ,Barcelona Add Ph II,McKinney,1,1,"1,626",1,Central,2019,"City Sewer, City Water, Individual Gas Meter, Individual Water Meter",-96.702369,33.156813,$650,Annually,Mandatory,"Attic Fan, Ceiling Fan(s), Central Air",Collin,0,0.0,05/06/2022,"$493,000",2,0,2/0,1,1,3,2,0.112,"$493,000"
740 Brazos  Lane ,Flagstone Estates,Rockwall,3,3,"2,369",1,"Central, Fireplace(s)",2009,"City Sewer, City Water, Electricity Connected",-96.451874,32.897861,$400,Annually,Mandatory,Central Air,Rockwall,2,0.0,04/07/2022,"$494,799",2,0,2/0,1,2,3,2,0.23,"$494,799"
9801 Preston Vineyard  Drive ,Preston Vineyards Sec One,Frisco,5,5,"1,943",1,"Central, Electric, Natural Gas",1992,"City Sewer, City Water",-96.797225,33.135408,,,None,"Ceiling Fan(s), Central Air, Electric",Collin,2,0.0,04/14/2022,"$495,000",2,1,2/1,2,2,3,3,0.12,"$495,000"
908 Harmony  Circle ,Harmony Estates,Nevada,3,3,"2,338",1,"Electric, Fireplace(s)",2014,"City Water, Electricity Connected, Septic",-96.423188,33.073582,,,None,"Ceiling Fan(s), Electric",Collin,3,0.0,05/04/2022,"$495,000",3,0,3/0,1,1,4,3,1.003,"$495,000"
125 Saddle  Ridge ,Hunters Glen Ph I,Waxahachie,3,3,"2,317",1,"Central, Electric",2003,"City Water, Septic",-96.84416,32.500993,,,None,"Ceiling Fan(s), Central Air, Electric",Ellis,2,1.0,04/20/2022,"$495,000",2,0,2/0,1,1,4,2,1.362,"$495,000"
2409 Denali  Court ,Villages Park Hill,Mansfield,2,2,"3,392",1,"Central, Electric, Zoned",2016,"City Sewer, City Water, Concrete, Curbs",-97.156378,32.59967,$660,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,05/03/2022,"$495,000",3,0,3/0,2,3,4,3,0.152,"$495,000"
1409 Bentwood  Drive ,Creek Valley,Garland,14,14,"2,180",1,"Central, Natural Gas",2021,"City Sewer, City Water, Individual Gas Meter, Individual Water Meter, Underground Utilities",-96.611207,32.887933,$540,Annually,Mandatory,"Ceiling Fan(s), Central Air",Dallas,2,0.0,05/18/2022,"$495,000",2,0,2/0,1,1,3,2,0.13,"$495,000"
1526 Cat Mountain  Trail ,Highland Oaks Add,Keller,2,2,"2,095",1,Central,1995,"Asphalt, Cable Available, City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter, Sidewalk",-97.227629,32.901356,$120,Annually,Mandatory,Central Air,Tarrant,2,0.0,05/04/2022,"$495,000",2,0,2/0,2,1,3,2,0.188,"$495,000"
1410  S Montreal  Avenue ,Hampton Hills Add,Dallas,5,5,"1,526",1,"Central, Zoned",1925,"City Sewer, City Water",-96.854027,32.730021,,,None,"Ceiling Fan(s), Central Air, Zoned",Dallas,2,0.0,05/04/2022,"$495,000",3,0,3/0,1,2,3,3,0.172,"$495,000"
10857 Caprock  Circle ,Lochwood,Dallas,4,4,"1,713",0,Central,1961,"Cable Available, City Sewer, City Water, Concrete, Curbs, Electricity Connected, Individual Gas Meter, Individual Water Meter, Phone Available, Sidewalk",-96.695663,32.856115,,,None,"Central Air, Electric",Dallas,2,0.0,05/10/2022,"$495,000",2,0,2/0,2,2,3,2,0.19,"$495,000"
1389 Grass Valley  Drive ,Lakeview Summit Ph 1-A,Rockwall,4,4,"2,651",1,Central,2004,"Cable Available, City Sewer, City Water",-96.465572,32.946668,$175,Semi-Annual,Mandatory,Central Air,Rockwall,3,0.0,05/20/2022,"$495,000",3,1,3/1,2,2,5,4,0.185,"$495,000"
3707 Adriana  Avenue ,Dominion Estates,Irving,27,27,"1,624",1,"Central, Natural Gas",2016,"Alley, City Sewer, City Water, Community Mailbox, Concrete, Curbs, Electricity Connected, Individual Gas Meter, Sidewalk, Underground Utilities",-96.996334,32.878689,$600,Annually,Mandatory,"Ceiling Fan(s), Central Air, Roof Turbine(s)",Dallas,0,0.0,05/19/2022,"$495,000",2,0,2/0,1,1,3,2,0.108,"$495,000"
616 Hartsdale  Drive ,Westmount,Dallas,4,4,"1,866",0,"Central, Electric, Natural Gas",2018,"City Sewer, City Water",-96.868571,32.7502,,,None,"Central Air, Electric",Dallas,4,2.0,05/19/2022,"$495,000",2,0,2/0,1,1,3,2,0.19,"$495,000"
3623 Wintergreen  Street ,Greenway Trails - D.R. Horton,Grand Prairie,7,7,"2,270",1,"Central, Natural Gas",2022,"City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter, Sidewalk, Underground Utilities",-97.071562,32.534819,$150,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Ellis,3,0.0,04/28/2022,"$497,000",2,0,2/0,1,1,4,2,0.179,"$497,000"
942 Blue Lake  Circle ,Richardson Heights 11,Richardson,5,5,"1,897",1,"Central, Fireplace(s)",1960,"City Sewer, City Water",-96.754503,32.943002,,,None,"Ceiling Fan(s), Central Air, Electric",Dallas,2,0.0,05/19/2022,"$497,000",2,0,2/0,2,2,4,2,0.265,"$497,000"
909  N Lucas  Drive ,Brookhollow Estates,Grapevine,8,8,"2,035",0,Electric,1968,"City Sewer, City Water, Curbs, Individual Water Meter, Sidewalk",-97.087644,32.948458,,,None,"Ceiling Fan(s), Central Air, Electric",Tarrant,1,0.0,05/13/2022,"$498,000",3,0,3/0,2,2,4,3,0.176,"$498,000"
9602 Heartstone  Lane ,Cypress Cove,Rowlett,4,4,"2,278",1,Natural Gas,1994,"City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter, Sidewalk, Underground Utilities",-96.507927,32.91308,,,None,"Ceiling Fan(s), Electric",Rockwall,2,0.0,05/13/2022,"$498,000",2,1,2/1,2,2,3,3,0.332,"$498,000"
229 Shady Timbers  Lane ,Timbers 4,Murphy,5,5,"2,927",1,"Central, Fireplace(s), Natural Gas",1997,"City Sewer, City Water, Electricity Connected, Individual Gas Meter, Individual Water Meter, Natural Gas Available",-96.608256,33.007575,$75,Annually,Voluntary,"Ceiling Fan(s), Central Air, Electric, Humidity Control",Collin,2,0.0,05/25/2022,"$498,000",2,1,2/1,2,3,4,3,0.2,"$498,000"
3905 Ridgecrest  Avenue ,Lakeside Village Estates Ph 1,Rowlett,5,5,"2,351",1,Gas Jets,1996,"City Sewer, City Water",-96.517795,32.896904,$200,Annually,Mandatory,Central Air,Rockwall,2,0.0,04/26/2022,"$498,369",2,0,2/0,1,2,4,2,0.231,"$498,369"
1005 Suffolk Park  Road ,Winchester Commons,Garland,5,5,"2,052",1,Central,2017,"Cable Available, City Sewer, City Water, Concrete, Curbs",-96.642821,32.949458,$800,Annually,Mandatory,"Attic Fan, Ceiling Fan(s), Central Air",Dallas,2,2.0,04/04/2022,"$499,000",2,0,2/0,1,1,4,2,0.109,"$499,000"
7602 Providence  Drive ,Lakewood Pointe,Rowlett,2,2,"3,170",1,Central,2005,"Alley, Cable Available, City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter, Phone Available, Sidewalk",-96.52954,32.919761,$320,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Dallas,2,0.0,04/25/2022,"$499,000",3,1,3/1,2,1,4,4,0.184,"$499,000"
3111 Gulden  Lane ,El Hogar Mexicana,Dallas,20,20,630,0,"Natural Gas, Space Heater",1945,"Cable Available, City Sewer, City Water, Electricity Available, Electricity Connected, Individual Gas Meter, Individual Water Meter, Sidewalk",-96.82794,32.780535,,,None,"Ceiling Fan(s), Window Unit(s)",Dallas,2,1.0,05/13/2022,"$499,000",1,0,1/0,1,1,2,1,0.08,"$499,000"
6537 Goldenrain  Drive ,Prairie Ridge,Venus,15,15,"2,696",1,"Central, Fireplace(s)",2020,"Cable Available, City Sewer, City Water, Community Mailbox, Concrete, Curbs, Electricity Available, Individual Gas Meter",-97.077262,32.5024,$650,Annually,Mandatory,Central Air,Ellis,2,2.0,05/12/2022,"$499,000",3,0,3/0,1,2,4,3,0.236,"$499,000"
210 Iris  Drive ,Coventry Crossing,Midlothian,13,13,"2,613",1,"Central, Electric, Fireplace(s), Heat Pump",2015,"Cable Available, City Sewer, City Water, Concrete, Curbs, Electricity Connected",-96.998252,32.41593,$650,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric, Heat Pump",Ellis,3,0.0,04/26/2022,"$499,000",2,1,2/1,2,2,4,3,0.39,"$499,000"
9794 County Road 212 ,Highland Prairie,Forney,5,5,"2,180",1,"Central, Natural Gas",2000,"Aerobic Septic, Co-op Water",-96.406599,32.722245,$50,Annually,Mandatory,"Central Air, Electric",Kaufman,6,0.0,05/23/2022,"$499,900",2,1,2/1,2,1,3,3,1.01,"$499,900"
213 Bent Creek  Drive ,Bent Creek Estates Ph I,Waxahachie,4,4,"1,990",1,"Central, Electric",2005,"City Sewer, City Water",-96.818956,32.446405,,,None,"Central Air, Electric",Ellis,2,0.0,05/20/2022,"$499,900",2,0,2/0,2,1,4,2,0.534,"$499,900"
121 Hurstwood  Court ,West Crossing Ph 2,Anna,5,5,"2,317",1,"Central, Natural Gas",2014,"City Sewer, City Water, Sidewalk, Underground Utilities",-96.555704,33.350456,$249,Semi-Annual,Mandatory,"Ceiling Fan(s), Central Air, Electric",Collin,3,0.0,04/27/2022,"$500,000",2,0,2/0,1,2,4,2,0.169,"$500,000"
512 Oak Hollow  Lane ,Woodhaven Cntry Club Estates B,Fort Worth,4,4,"2,979",1,"Central, Natural Gas",1973,"All Weather Road, Cable Available, City Sewer, City Water, Curbs, Phone Available, Underground Utilities",-97.229411,32.77064,,,None,"Central Air, Electric",Tarrant,2,0.0,05/10/2022,"$500,000",3,0,3/0,2,1,4,3,0.309,"$500,000"
925 Hemlock  Trail ,Creekwood Add,Saginaw,11,11,"2,812",1,Central,2008,"All Weather Road, City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter",-97.348032,32.884923,$252,Semi-Annual,Mandatory,"Ceiling Fan(s), Central Air",Tarrant,3,0.0,04/29/2022,"$500,000",3,0,3/0,2,1,4,3,0.212,"$500,000"
2113 Graham  Road ,Anna Crossing Ph 5,Anna,3,3,"2,754",0,Central,2020,"City Sewer, City Water",-96.542951,33.329801,$600,Annually,Mandatory,Central Air,Collin,2,2.0,04/21/2022,"$500,000",2,1,2/1,1,2,4,3,0.139,"$500,000"
10330 Trail Ridge  Drive ,Ventana,Fort Worth,2,2,"2,695",1,"Central, Natural Gas",2018,"Cable Available, City Sewer, City Water, Community Mailbox, Concrete, Curbs, Electricity Connected, Individual Gas Meter, Sidewalk, Underground Utilities",-97.507757,32.670299,$840,Annually,Mandatory,"Central Air, Electric",Tarrant,2,0.0,04/18/2022,"$500,000",2,1,2/1,2,1,3,3,0.194,"$500,000"
5005 Alpine Meadows  Drive ,Summit View Lake Ph One,McKinney,6,6,"1,757",1,"Central, Natural Gas",2006,"Cable Available, City Sewer, City Water, Concrete, Curbs, Individual Gas Meter, Individual Water Meter, Sidewalk",-96.679551,33.229244,$275,Semi-Annual,Mandatory,"Ceiling Fan(s), Central Air",Collin,2,0.0,04/20/2022,"$500,000",2,0,2/0,2,1,3,2,0.14,"$500,000"
1913 Eden Valley  Lane ,Highlands North Ph II,Plano,7,7,"2,314",1,"Central, Electric",1983,"Alley, City Sewer, City Water, Curbs, Individual Gas Meter, Individual Water Meter, Underground Utilities",-96.77637,33.026344,,,None,"Central Air, Electric",Collin,4,2.0,04/27/2022,"$500,000",2,1,2/1,2,2,3,3,0.28,"$500,000"
5917 Trail Marker  Court ,Chisholm Trail Ranch,Fort Worth,2,2,"3,399",1,"Central, Natural Gas",2019,"City Sewer, City Water, Sidewalk, Underground Utilities",-97.417974,32.611825,$650,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric",Tarrant,2,0.0,04/14/2022,"$500,000",3,1,3/1,2,3,4,4,0.152,"$500,000"
4206 Creekbluff  Drive ,Pecan Harbor Estates,Rowlett,2,2,"2,920",1,"Natural Gas, Zoned",1999,"City Sewer, City Water",-96.561953,32.877845,$800,Annually,Mandatory,"Ceiling Fan(s), Central Air, Electric, Zoned",Dallas,2,0.0,04/19/2022,"$500,000",3,1,3/1,2,2,4,4,0.269,"$500,000"
409 Roger Graves  Circle ,Valor Pointe - The Reserve At Westridge Ph 10,McKinney,4,4,"1,621",1,"Electric, Fireplace(s)",2012,"Cable Available, City Sewer, City Water, Co-op Electric, Curbs, Sidewalk",-96.752051,33.201338,$350,Semi-Annual,Mandatory,"Ceiling Fan(s), Electric",Collin,0,0.0,04/15/2022,"$500,000",2,0,2/0,1,1,4,2,0.146,"$500,000"
250 Westlake ,Villages Of Fox Hollow Ph 1,Forney,5,5,"3,296",1,"Central, Natural Gas",2006,"City Sewer, City Water",-96.452082,32.733269,$250,Annually,Mandatory,"Central Air, Electric",Kaufman,3,0.0,04/29/2022,"$500,000",2,1,2/1,2,3,4,3,0.248,"$500,000"
